Province/State,Country/Region,Lat,Long,1/22/20,2/21/20,3/22/20,4/21/20,5/21/20,6/20/20,7/20/20,8/19/20
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,0,0,0,5,6,7,10,13
Curacao,Netherlands,12.1696,-68.99,0,0,3,14,16,23,28,36
Sint Maarten,Netherlands,18.0425,-63.0548,0,0,1,67,77,77,79,348
,Netherlands,52.1326,5.2913,0,0,4204,34134,44700,49502,51910,64525
,New Zealand,-40.9006,174.886,0,0,102,1445,1504,1511,1555,1654
,Nicaragua,12.865416,-85.207229,0,0,2,10,279,1823,3147,4311
,Niger,17.607789,8.081666,0,0,2,657,924,1035,1105,1167
,Nigeria,9.082,8.6753,0,0,30,665,7016,19808,37225,50488
,North Macedonia,41.6086,21.7453,0,0,115,1231,1898,5005,9249,13076
,Norway,60.472,8.4689,0,0,2385,7191,8309,8742,9034,10162
,Oman,21.512583,55.92325500000001,0,0,55,1508,6370,28566,68400,83606
,Pakistan,30.3753,69.3451,0,0,875,10076,50694,176617,266096,290445
,Panama,8.538,-80.7821,0,0,313,4658,10116,25222,54426,83754
,Papua New Guinea,-6.314993,143.95555,0,0,1,7,8,8,19,347
,Paraguay,-23.4425,-58.4438,0,0,22,208,836,1362,3748,11133
,Peru,-9.19,-75.0152,0,0,363,17837,108769,251338,357681,549321
,Philippines,12.879721,121.77401699999999,0,3,380,6599,13434,29400,68898,173774
,Poland,51.9194,19.1451,0,0,634,9856,20143,31620,40383,58611
,Portugal,39.3999,-8.2245,0,0,1600,21379,29912,38841,48771,54701
,Qatar,25.3548,51.1839,0,0,494,6533,38651,86488,107037,115956
,Romania,45.9432,24.9668,0,0,433,9242,17585,23730,38139,73617
,Russia,61.52401,105.31875600000001,0,2,367,52763,317554,576162,776212,935066
,Rwanda,-1.9403,29.8739,0,0,19,150,320,702,1629,2644
,Saint Kitts and Nevis,17.357822,-62.782998,0,0,0,15,15,15,17,17
,Saint Lucia,13.9094,-60.9789,0,0,2,15,18,19,23,26
,Saint Vincent and the Grenadines,12.9843,-61.2872,0,0,1,12,18,29,50,58
,San Marino,43.9424,12.4578,0,0,175,476,658,696,699,704
,Sao Tome and Principe,0.1864,6.6131,0,0,0,4,251,698,746,885
,Saudi Arabia,23.885942,45.079162,0,0,511,11631,65077,154233,253349,302686
,Senegal,14.4974,-14.4524,0,0,67,412,2812,5783,8948,12446
,Serbia,44.0165,21.0059,0,0,222,6890,10919,12803,21253,30048
,Seychelles,-4.6796,55.492,0,0,7,11,11,11,108,132
,Sierra Leone,8.460555000000001,-11.779889,0,0,0,50,585,1309,1711,1961
,Singapore,1.2833,103.8333,0,85,455,9125,29812,41833,48035,56031
,Slovakia,48.669,19.699,0,0,185,1199,1502,1586,1980,3022
,Slovenia,46.1512,14.9955,0,0,414,1344,1468,1519,1953,2493
,Somalia,5.152149,46.199616,0,0,1,286,1594,2755,3130,3265
,South Africa,-30.5595,22.9375,0,0,274,3465,19137,92681,373628,596060
,South Sudan,6.8770000000000024,31.307,0,0,0,4,481,1882,2211,2494
,Spain,40.463667,-3.7492199999999998,0,2,28768,204178,233037,245938,264836,370867
,Sri Lanka,7.873054,80.77179699999998,0,1,82,310,1055,1950,2730,2902
,Sudan,12.8628,30.2176,0,0,2,107,3138,8580,10992,12546
,Suriname,3.9193,-56.0278,0,0,5,10,11,303,1079,3295
,Sweden,60.128161,18.643501,0,1,1986,15831,33236,58597,74676,82323
,Switzerland,46.8182,8.2275,0,0,7474,28063,30694,31243,33634,38760
,Syria,34.802075,38.99681500000001,0,0,1,42,58,198,522,1927
,Taiwan*,23.7,121.0,1,26,169,425,440,446,451,486
,Tajikistan,38.861,71.2761,0,0,0,0,2350,5399,6921,8166
,Tanzania,-6.369028,34.888822,0,0,12,254,509,509,509,509
,Thailand,15.870032,100.992541,2,35,599,2811,3037,3147,3250,3382
,Timor-Leste,-8.874217,125.727539,0,0,1,23,24,24,24,25
,Togo,8.6195,0.8248,0,0,16,86,354,561,783,1190
,Trinidad and Tobago,10.6918,-61.2225,0,0,50,115,116,123,137,686
,Tunisia,33.886917,9.537499,0,0,75,884,1046,1156,1381,2427
,Turkey,38.9637,35.2433,0,0,1236,95591,153548,186493,220572,253108
,US,40.0,-100.0,1,15,33152,809295,1584512,2255328,3834677,5529824
,Uganda,1.373333,32.290275,0,0,1,61,160,763,1069,1656
,Ukraine,48.3794,31.1656,0,0,73,6125,19706,36615,60767,98658
,United Arab Emirates,23.424076,53.847818000000004,0,9,153,7755,26898,44533,57193,65341
Anguilla,United Kingdom,18.2206,-63.0686,0,0,0,3,3,3,3,3
Bermuda,United Kingdom,32.3078,-64.7505,0,0,6,86,125,146,153,166
British Virgin Islands,United Kingdom,18.4207,-64.64,0,0,0,5,8,8,8,11
Cayman Islands,United Kingdom,19.3133,-81.2546,0,0,3,66,121,195,203,205
Channel Islands,United Kingdom,49.3723,-2.3644,0,0,32,496,558,570,583,613
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,0,0,0,11,13,13,13,13
Gibraltar,United Kingdom,36.1408,-5.3536,0,0,15,132,151,176,180,223
Isle of Man,United Kingdom,54.2361,-4.5481,0,0,5,307,336,336,336,336
Montserrat,United Kingdom,16.742498,-62.187366000000004,0,0,1,11,11,11,12,13
Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,0,0,0,11,12,12,81,327
,United Kingdom,55.3781,-3.4360000000000004,0,23,10333,134907,240795,277170,295372,321098
,Uruguay,-32.5228,-55.7658,0,0,158,543,749,859,1064,1493
,Uzbekistan,41.377491,64.585262,0,0,43,1678,2964,6153,17149,37112
,Venezuela,6.4238,-66.5897,0,0,70,285,882,3789,12334,36868
,Vietnam,14.058323999999999,108.277199,0,16,113,268,324,349,384,994
,West Bank and Gaza,31.9522,35.2332,0,0,52,329,423,784,8916,17606
,Western Sahara,24.2155,-12.8858,0,0,0,6,6,9,10,10
,Yemen,15.552726999999999,48.516388,0,0,0,1,197,922,1619,1892
,Zambia,-13.133897,27.849332,0,0,3,70,866,1430,3326,10218
,Zimbabwe,-19.015438,29.154857,0,0,3,28,51,479,1713,5643
